video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,number_of_words,list_of_words_separated_by_spaces
AndyWoodhull,5,8,1,0,5,1,150,13,thankyouverymuchthankyouthat'sgreatIjustbecameafather
AndyWoodhull,10,12,1,8,10,241,300,4,mykidsaretenants
AndyWoodhull,20,21,1,12,20,361,600,29,itgoesbysofastthat'smeantsometimesitfeelslikeitallhappenedtoanotherguyandtheyjustmarriedtheirmomwhentheyweretenandtwelve
AndyWoodhull,47,48,1,21,47,631,1410,97,thatiswhathappenedonthestepfatherIlovemystepdaughtersittohimIlovehimsomuchitscaresmeGuzmanguaranteedtomefromotherstepparentsthere'sgonnabeadaywhereI'mtryingtoteachhimsomethingandthenIlookbackImeangoIhavetolistentoanythingyoutosayyouknowmyrealdadit'sgonnabreakmyheartwhenthathappensbutitdoesmakemefeellittlebettertoknowtherecouldbeanotherdaywhenwe'regonnaprincipal'sofficeorapolicestation
AndyWoodhull,57,62,1,48,57,1441,1710,33,andastrangerwillbeyellingatmeandI'mgonnagetyougoyouknowwhatIwanttolistentoanythingyouhavetosaythosearenotmyrealdaughter
AndyWoodhull,65,66,1,62,65,1861,1950,11,youseegettheirrealdadonthephonerightnow
AndyWoodhull,68,72,1,66,68,1981,2040,9,probablywheretheygotthatweneedinthe
AndyWoodhull,82,83,1,72,82,2161,2460,32,Idon'tknowifI'mreadytobeahusbandaheadofahouseholdHazelettaloneayearagoI'mnotsureIwasqualifiedtobetheheadofthe
AndyWoodhull,95,96,1,83,95,2491,2850,36,mypartinggotrobbedlastyearwhileIwaslivingaloneIgetsoscaredassertedcryNicolethepoliceIseeyouneedtogetoverhereprisoncrimeyouhavesomecrimefightingtoday
AndyWoodhull,103,104,1,96,103,2881,3090,14,sixhourslateronepoliceofficershowedupandshewaswearingshapepops
AndyWoodhull,110,111,1,104,110,3121,3300,14,that'ssoyouwheretofightcrimeinmyneighborhoodcurvebottomworkoutshoes
AndyWoodhull,115,116,1,111,115,3331,3450,15,wouldbemorecomfortableifyouhadamaskandaCapeonrightnow
AndyWoodhull,127,131,1,116,127,3481,3810,39,isitintimidatingtothecriminalswhenyou'rechasingthemdownandthelookingbackovertheirshoulderlikehowcanIeverhopetogetawaywhenherlegsand****aregettingstrongerwitheverystepseed
AndyWoodhull,144,145,1,131,144,3931,4320,48,wasreadyandthensomethinghappenedandIknewIwasreadyandofferasadvicethere'sanysinglemomsoutthereyoureceiveyourboyfriend'sreadytomarryyoudowhatmywifedidhaveyourkidsgiveyourboyfriendlicethat'showyouknowit'sreal
AndyWoodhull,154,155,1,145,154,4351,4620,28,sheshecalledmelastfallandshesaidyoumighthaveliceIwishshewouldhavebeencallingtotellmethatIhadaSTD
AndyWoodhull,157,158,1,155,157,4651,4710,6,atleastthat'ssomethingthatadults
AndyWoodhull,166,168,1,158,166,4741,4980,30,andIcangotothedoctorandgetsomemedicineIdon'tevenknowwhattodoaboutlifetodrivetofindtheelementaryschooltogetus
AndyWoodhull,173,174,1,168,173,5041,5190,14,tonighttheBostondoafrontofficesomebodygivemeaschoolnursethat
AndyWoodhull,177,181,1,174,177,5221,5310,9,youknowbutnevercheckweaverscoliosiswantsto
AndyWoodhull,186,187,1,181,186,5431,5580,5,thiselementaryschooltakeobamacare
AndyWoodhull,199,200,1,187,199,5611,5970,38,here'swhatIreallyhadtodoIcallmyfriendandsayHeypalwecomeoverforaminutebecausewhatfloorandIsaidwellIwashopingyouwouldcallmyhairforawhile
AndyWoodhull,203,204,1,200,203,6001,6090,8,althoughintheU.reallycarefullycombmy
AndyWoodhull,207,208,1,204,207,6121,6210,14,maybepickthroughitwithanumbertwopencilifyouhaveonon
AndyWoodhull,212,213,1,208,212,6241,6360,13,andthenI'mgonnaneedyoutoshampoomelathermeupbody
AndyWoodhull,225,230,1,213,225,6391,6750,41,itsaysonthebottleoftheliceshampootheseshouldn'tapplyittoyourselfhowmanydoyouthinkyouhaveafriendwhoyougonnafryandtheywouldcomeoverandshampootheparasitesoutofyourhair
AndyWoodhull,235,236,1,230,235,6901,7050,14,IcantellyoufromexperiencethatIhavezerofriendsthatelectedof
AndyWoodhull,241,242,1,236,241,7081,7230,16,allmyfriendsaregaymentonightistheyearJohnplaneoverlooksweirdor
AndyWoodhull,246,247,1,242,246,7261,7380,11,sowehavelifetogethernowwecouldn'tbemorein
AndyWoodhull,274,285,2,247,274,7411,8220,100,weonlyhadonefightinalmosttenmonthsofmarriagehere'swhatIwasIwaspackedIwasunpackingmyboxesafterwemovedintogethernoIsawmeandshewaswhatareyoudoingwiththosedishesyoubuythosedisheswhenyouwerelivingwithanotherwomanandIdon'twantanotherwoman'sdishesandmyhomeandIgetwhereshe'scomingfrommaybeyouagreewiththeirpointofviewaswellbeforeyoudecidethatshe'srightandI'mwrongIliketoremindyouthatmywifehastwodaughters
AndyWoodhull,288,289,1,285,288,8551,8640,4,movinginbeingunreasonable
AndyWoodhull,293,294,1,289,293,8671,8790,18,Iwastryingtosaythatyoucanshopatthepicnicwouldknowbasketappearonthe
AndyWoodhull,301,312,2,294,301,8821,9030,24,RonthankifyouwanttogetintospecificsIliketopointoutthatmydishesdon'tkindoflooklikemyex
AndyWoodhull,319,321,2,312,319,9361,9570,26,don'tgoovertomyexgirlfriend'shouseeveryotherweekendandthencomehomeandtellshowmuchmorefunitisinhercabinet
AndyWoodhull2,2,5,1,0,2,1,60,6,justgotmarriedlastyeargot
AndyWoodhull2,26,27,1,5,26,151,780,69,IdidallofourowndecorationsattheweddingoneofthethingswedidtosavemoneywasofthisJapanesetraditionwherethecoupleyoufoldonethousandpapercranesandifyou'reabletofinishbyyourweddingdayyou'resupposetohavegoodluckthroughoutyourmarriagewedidanAmericanizedversionoftheJapanesetraditionwherethemanifoldsninehundredandninetyfive
AndyWoodhull2,31,32,1,27,31,811,930,5,thewomanfoldsfiveshitty
AndyWoodhull2,38,43,1,32,38,961,1140,18,cranesnowfortherestofourlivesaregonnatelleveryonethatwefoldedonethousandpaper
AndyWoodhull2,49,50,1,43,49,1291,1470,25,Ihopethattheamountofluckthatwehaveinthemarriageisproportionatetotheamountofcranesthatwefoldedforthat
AndyWoodhull2,54,55,1,50,54,1501,1620,19,don'tknowwhytheceilingsonlyleakingfromyourhalfofthebedmaybeyoushouldhavefoldedmore
AndyWoodhull2,62,64,1,55,62,1651,1860,20,Idon'tknowwhyonlyyourhalfofourplanescrashingmyhalfisbeingsuspendedbymagicpapercranes
AndyWoodhull2,83,84,1,64,83,1921,2490,67,wearelateeverythingwereneverontimeit'saproblemforuscoupleit'sgottoapointnowwhereifwefittobesomewhereatsixmywifewilltellmethatyouthatfivethirtyinordertotrickusintobeingontimeandneverworksandthereasonwhydoesn'tworkisbecauseIamnottheproblemthat'swhyit
AndyWoodhull2,88,89,1,84,88,2521,2640,13,alltrickingmedoesismakememadforanextrahalfhour
AndyWoodhull2,100,102,1,89,100,2671,3000,37,we'rerunninglatetothemoviesIwanttocheckonshe'spaintingherfingernailsminusresponsesangerit'sdarkinthetheaternoone'sevengonnaknowwhatyoudidweekwecouldpaintyourface
AndyWoodhull2,120,121,1,102,120,3061,3600,63,announcinganythingwifeonethatIpickedallotherwomenontheplanettospendmylifewithandshefeelsmorebeautifulandconfidentthosefingernailspaintedandIguessI'mgonnamissthosepreviousIguessthat'sgotsuckedthelifethatIlivenowIliveallhypewhereIneverknowwhat'scomingsoontoatheaternearme
AndyWoodhull2,128,130,1,121,128,3631,3840,20,youknowandthenIlooktoseewhatcolorshe'spaintingherfingernailsshewaspaininthemclear
AndyWoodhull2,132,133,1,130,132,3901,3960,4,thenmybrainexploded
AndyWoodhull2,136,137,1,133,136,3991,4080,2,evendoing
AndyWoodhull2,142,143,1,137,142,4111,4260,22,wellifyouneedmeI'llbeinthefrontyardmowingitwiththebubblemakerletmeknowwhenyou're
AndyWoodhull2,152,153,1,143,152,4291,4560,25,Ihavesomanybubblesthepopshe'sonlymakesthemshinierifthat'sallyouneededwecouldIjustgotpopcornatthe
AndyWoodhull2,159,160,1,153,159,4591,4770,13,largepopcornextranapkinsnobutteroppositeofthatwouldmakemoresense
AndyWoodhull2,163,170,1,160,163,4801,4890,4,someoneTVsetaround
AndyWoodhull2,186,187,1,170,186,5101,5580,59,clicktoeverythingshoesonceliketowatchNetflixinourownhomeyouarebreakingthelawsofspaceandtimerainNetflixstartswheneveryouwantwepickedoutamovietogetherandshegoesdon'tstartingyeahIhavetogotothebathroomthenahalfhourlaterI'mstillsittingtherewhereit'syou
AndyWoodhull2,200,201,1,187,200,5611,6000,52,wanttolookandshewasintheshowersoIconfronthowlookwhywouldyoutakeashowerwearsoutherestaringataredscreenbymyselfwaitingonyouandshelookedmeinthefaceandshewasI'mnottakingashowerI'mrinseitoff
AndyWoodhull2,204,205,1,201,204,6031,6120,10,thatishowmywifebeatsmeinargumentsshe
AndyWoodhull2,210,211,1,205,210,6151,6300,21,thatshe'sdoingthethingthatI'mmapoutandIdon'tknowhowtofightbackagainstsomeonethatdoes
AndyWoodhull2,220,221,2,211,220,6331,6600,34,IhavethirtyfiveyearsoflifeexperienceleadingmetobelievethatwhatI'mseeingrightnowiscalledashoweryoudecidewhat'sthatIdon'tknowwheretogofromhere
AndyWoodhull2,230,238,1,221,230,6631,6900,29,you'reintheshowerthere'swaterhittingyouseemslikeashowerifyou'rerinsingoffyoubeinacolanderandI'llbeholdingyouunderthesink
AndyWoodhull2,253,255,2,238,253,7141,7590,51,shedoesittomeallthetimedoesn'tparticipateintheargumentwe'reonaroadtriponceshefellasleeplookswhenyougottawakeupsleepytooIneedsomeonetotalktomesowecanarriveatourdestinationsafelyshewasnotasleepI'mresting
AndyWoodhull2,258,259,2,255,258,7651,7740,8,%HESITATIONareyoualsoairingoutyourthroat
AndyWoodhull2,264,266,2,259,264,7771,7920,13,becauseyourmouthandopenforthelastfifteenmileswasitto
AndyWoodhull2,281,282,1,266,281,7981,8430,50,toomuchmoistureintheoldesophagusIthinkit'sfairIwannausethattechniqueagainstherIknowyou'remadthatI'mdrunkrightnowwellguesswhatI'mnotdrunkI'mjustraisemybloodalcoholcontentsothatIcanhavemorefunatthisthanksgiving
AndyWoodhull2,292,293,1,282,292,8461,8760,35,thisisascienceexperimenttheywitnessingrightnowI'mtryingtoseehowIcanraisemybloodalcoholcontentandIhavetorestmyeyeswhenyourmotherselfthankyouvery
AparnaNancherla1,14,16,2,0,14,1,420,52,andit'sexcitingtobeoutalwaysexcitingtobeoutintheworldisn'titnothomejustouttherefloatingaroundbutIknowyougotyourphoneeverybodyhere'sgottheirphonesthatonepersonheredoesn'thaveyoubetterhaveyougottahaveitbecausethereisno
AparnaNancherla1,19,21,2,16,19,481,570,7,securityforyouinthislifeanymore
AparnaNancherla1,22,23,2,21,22,631,660,4,youcanfeela
AparnaNancherla1,36,37,2,23,36,691,1080,20,pantsandyouwantsomesolidJosephatowyouwannajuiceduphardrectanglethat'syourlifebecauseof
AparnaNancherla1,49,51,2,37,49,1111,1470,25,ballcrybutyouneedtostayintouchwiththatissoimportantthepeopleinyourlinethey'resoimportantaren'tokayyeah
AparnaNancherla1,55,56,2,51,55,1531,1650,8,theydon'tseemveryimportantnottheway
AparnaNancherla1,66,67,2,56,66,1681,1980,13,onyourcontactlistlikeagayFrenchkingwhopleasesmetoday
AparnaNancherla1,81,83,2,67,81,2011,2430,26,whoshallIfavorwho'sgoingtoleadandwecallonthephonewedon'treallyuseitmuchasaphonedowenow
AparnaNancherla1,85,86,2,83,85,2491,2550,7,someyearsagoyouweregiventhe
AparnaNancherla1,96,97,2,86,96,2581,2880,31,toanotherpersonyoucouldtalkyoucouldtypewillonceyouhavethatoptionwellthattookhalfasecondtalkinglosttalking'soverwewanttotalkagood
AparnaNancherla1,111,113,2,97,111,2911,3330,39,italldoIhavetotalktothispersonnowtalkingisworkyougottamakefacialexpressionslikeboatwithwhatyou'resayingdifferenthandgesturesyougottasuckairandyougotablowitall
AparnaNancherla1,110,120,2,113,110,3391,3300,0,
AparnaNancherla1,125,126,2,120,125,3601,3750,17,youwantIcouldtextofthiswholethingwecangetthehelloutofhere
AparnaNancherla1,131,132,2,126,131,3781,3930,4,emailtaxwelove
AparnaNancherla1,145,147,2,132,145,3961,4350,33,whenwecommunicatetoanotherpersonwewantthemtoknowIcouldhavecalledyouandIchosenottoIdecidedIonlywanttohearmyhalfoftheconversation
AparnaNancherla1,151,152,2,147,151,4411,4530,7,tosayIthinkwe'redonehere
AparnaNancherla1,163,164,2,152,163,4561,4890,27,emailIlikeIdon'treallyliketheuseofthewordmaleinemailusingthesametermthatwe'reusingforthepostalserviceI
AparnaNancherla1,178,179,2,164,178,4921,5340,25,betweenthesetwosystemsoneofthemoccurringindigitalfiberoptichyperspacetheotheradazedandconfuseddistantbranchofthecubscouts
AparnaNancherla1,186,187,2,179,186,5371,5580,14,fumblingaroundthestreetsandembarrassingshortsandjacketswithmeaninglesspatchesandvictory
AparnaNancherla1,189,191,2,187,189,5611,5670,2,drivingfour
AparnaNancherla1,198,199,2,191,198,5731,5940,6,sideofamentallyhandicappedG.
AparnaNancherla1,211,212,2,199,211,5971,6330,25,Ilovethepostalsystemhasthisfinancialemotionalmeltdowneverythreetofiveyearsthattheirbusinessmodelfromsixteenthirtyisn'tworkinganymore
AparnaNancherla1,218,219,2,212,218,6361,6540,14,howatwentyfirstcenturyinformationsystembasedonlickingwalkingandarandom
AparnaNancherla1,226,227,2,219,226,6571,6780,9,isstrugglingtocomepaywhatisthereason
AparnaNancherla1,235,236,2,227,235,6811,7050,21,andsotheyalwayssendthePostmasterGeneralunderwehavetomakeabigabouthowtimethattherehave
AparnaNancherla1,239,240,2,236,239,7081,7170,10,niecefreakedouthe'sgotringsundertheeyesno
AparnaNancherla1,244,245,2,240,244,7201,7320,7,wegottadoitanymorewegotta
AparnaNancherla1,257,258,2,245,257,7351,7710,37,isnowayaroundittryingtogetsomebreathingroomwealsoneedforstructureandwe'realllikeHeydodowhathaveyougottodowedon'tgiveadamnwhatisa
AparnaNancherla1,262,263,2,258,262,7741,7860,9,knowwhatitcostsfortythreefortyeightmaking
AparnaNancherla1,266,267,2,263,266,7891,7980,8,thereIhavesomemoneyleftoverby
AparnaNancherla1,271,277,2,267,271,8011,8130,3,arealcar
AparnaNancherla1,289,291,2,277,289,8311,8670,30,talktothepostofficeIcouldsaythatifyoureallywanttobehelpfultousjustopenthelettersreadI'mandemailuswhatitsays
BethStelling1,11,12,0,0,11,1,330,25,IrecentlymovedfromIllinoistoCaliforniaandanythingthatyouwouldbehardpressedtofindanybodyheretonightisdonesomethingthatBraves
BethStelling1,21,22,0,12,21,361,630,23,butIamdeadandIjustgotsomenewsfrommysisterbackhomesheandherboyfriend%HESITATIONaccidentallyplanneda
